feedback_id,customer_id,product_id,rating_stars,sentiment,delivery_status,feedback_date,order_value
600001,117571,500278,3,Positive,Slightly Delayed,2025-07-15 14:41:35,521
600002,112171,500849,1,Positive,On Time,2024-12-29 14:42:07,5344
600003,117950,501439,5,Negative,On Time,2025-11-18 14:59:50,2552
600004,101159,500052,4,Positive,On Time,2025-03-24 11:19:15,2905
600005,115816,500313,3,Positive,On Time,2025-06-06 14:34:00,5169
600006,109260,501222,4,Positive,On Time,2024-12-26 23:44:56,3850
600007,108890,501187,5,Positive,Delayed,2025-04-09 22:18:18,3681
600008,111897,501218,5,Positive,On Time,2024-06-08 13:46:53,5366
600009,113932,503220,2,Positive,On Time,2024-11-13 09:55:40,1452
600010,103851,500538,4,Positive,On Time,2024-07-14 04:56:19,1023
600011,101512,500771,3,Positive,On Time,2025-10-25 13:07:32,5692
600012,109390,500623,1,Positive,On Time,2024-04-08 04:03:14,4986
600013,102568,500909,4,Positive,Slightly Delayed,2025-09-05 07:46:38,5582
600014,112620,502171,4,Neutral,On Time,2025-07-27 23:19:49,2999
600015,115682,503277,5,Positive,On Time,2025-01-21 02:57:53,4242
600016,106513,502740,1,Neutral,Delayed,2024-01-06 00:01:54,3380
600017,104699,500023,2,Positive,On Time,2025-01-29 03:40:50,993
600018,101462,501534,2,Positive,On Time,2025-06-19 02:56:22,3992
600019,107561,502600,1,Neutral,On Time,2025-07-29 12:17:47,1564
600020,101137,502667,2,Negative,Delayed,2025-08-09 14:11:59,1125
600021,103594,502411,2,Positive,On Time,2025-01-26 04:26:01,1796
600022,117818,502615,5,Negative,Slightly Delayed,2025-01-13 05:08:58,1265
600023,116832,501188,1,Positive,On Time,2025-06-21 17:51:47,3409
600024,104058,500151,5,Positive,On Time,2024-05-17 09:59:45,1734
600025,114016,502859,5,Positive,Delayed,2025-01-23 16:12:10,5321
600026,105804,501333,5,Positive,On Time,2025-11-24 21:36:13,5685
600027,111772,501561,3,Positive,Slightly Delayed,2024-12-03 23:47:48,3252
600028,108689,500812,3,Positive,Slightly Delayed,2025-04-18 12:25:48,2032
600029,108109,501852,2,Positive,On Time,2025-10-19 05:39:44,4387
600030,102173,501319,3,Positive,On Time,2025-09-22 06:07:42,3744
600031,104232,500415,3,Negative,On Time,2025-06-24 08:27:51,740
600032,102049,502663,3,Negative,On Time,2025-07-07 04:44:39,1892
600033,107252,501150,5,Positive,On Time,2025-07-13 14:54:58,4633
600034,115200,500692,2,Positive,On Time,2024-03-20 04:21:00,3257
