inventory_id,product_id,stock_received,stock_sold,damaged_stock,month,warehouse_city,closing_stock
900001,501013,107,148,15,2025-02,Delhi,-56
900002,500548,335,74,5,2025-07,Kolkata,256
900003,501315,407,203,8,2024-10,Hyderabad,196
900004,500940,366,85,12,2024-03,Delhi,269
900005,500094,243,319,21,2024-08,Hyderabad,-97
900006,503084,353,83,5,2024-10,Delhi,265
900007,501063,178,222,14,2025-07,Kolkata,-58
900008,501236,416,107,17,2025-09,Pune,292
900009,500979,515,199,6,2025-07,Chennai,310
900010,500873,471,209,24,2025-05,Kolkata,238
900011,502187,236,52,16,2024-08,Kolkata,168
900012,503303,215,321,6,2025-06,Bangalore,-112
900013,501111,350,170,13,2024-06,Mumbai,167
900014,501977,159,298,0,2024-05,Kolkata,-139
900015,500781,435,332,22,2025-01,Delhi,81
900016,500948,316,263,6,2025-01,Kolkata,47
900017,503280,576,201,1,2025-11,Delhi,374
900018,501553,256,348,19,2025-08,Delhi,-111
900019,500543,207,67,19,2024-10,Delhi,121
900020,501544,123,395,5,2025-06,Bangalore,-277
900021,502844,426,141,1,2025-01,Bangalore,284
900022,503381,448,164,1,2024-11,Bangalore,283
900023,500487,270,185,19,2024-08,Kolkata,66
900024,502234,176,58,6,2024-08,Delhi,112
900025,501742,462,278,9,2024-05,Bangalore,175
900026,500989,468,330,0,2025-11,Pune,138
900027,502771,520,319,4,2024-09,Pune,197
900028,502390,216,288,10,2025-12,Kolkata,-82
900029,502446,275,425,10,2024-11,Delhi,-160
900030,502029,456,169,24,2025-11,Hyderabad,263
900031,502180,454,126,6,2025-01,Chennai,322
900032,503220,415,50,8,2024-01,Pune,357
900033,500062,175,418,20,2024-10,Hyderabad,-263
900034,501942,576,419,24,2024-05,Delhi,133
900035,502152,424,216,14,2024-05,Kolkata,194
900036,501312,102,277,18,2025-09,Pune,-193
900037,502412,343,334,17,2025-05,Kolkata,-8
900038,500924,548,436,4,2025-08,Kolkata,108
900039,501225,119,430,17,2024-11,Pune,-328
900040,502388,445,224,10,2025-09,Hyderabad,211
900041,502394,208,196,0,2024-01,Kolkata,12
900042,502266,341,282,1,2025-11,Kolkata,58
900043,500454,375,99,17,2024-01,Pune,259
900044,502065,410,222,0,2025-03,Kolkata,188
900045,502401,196,393,1,2024-06,Bangalore,-198
900046,501282,139,348,10,2024-03,Delhi,-219
900047,502205,495,57,11,2024-08,Delhi,427
900048,501316,221,420,11,2024-09,Delhi,-210
900049,503204,234,160,17,2024-09,Hyderabad,57
900050,501075,403,244,5,2025-03,Chennai,154
900051,501954,369,223,13,2025-11,Chennai,133
900052,500606,536,179,4,2025-06,Kolkata,353
900053,500215,330,197,22,2025-07,Pune,111
900054,503292,389,97,11,2024-12,Delhi,281
900055,502777,232,263,10,2025-10,Pune,-41
900056,503058,178,160,11,2025-02,Kolkata,7
900057,502881,208,212,14,2024-06,Chennai,-18
900058,502818,200,212,11,2025-08,Delhi,-23
900059,502373,524,256,2,2024-11,Bangalore,266
900060,502067,543,378,19,2025-09,Mumbai,146
900061,500022,287,238,20,2024-02,Delhi,29
900062,503296,561,64,5,2025-10,Hyderabad,492
900063,502861,363,200,6,2025-03,Pune,157
900064,502959,152,176,10,2024-10,Mumbai,-34
900065,502482,487,201,23,2025-12,Delhi,263
900066,500343,106,271,3,2025-02,Mumbai,-168
900067,503155,197,198,16,2024-08,Kolkata,-17
