campaign_id,campaign_name,platform,month,impressions,clicks,conversions,spend,revenue_generated,roas
800001,Flipkart Campaign 0,Instagram,2025-03,111996,17871,140,372686,272300,0.73
800002,Flipkart Campaign 1,Google,2024-02,143009,35607,951,254575,1678515,6.59
800003,Flipkart Campaign 2,Google,2025-05,730136,29317,2318,281553,3085258,10.96
800004,Flipkart Campaign 3,Instagram,2025-08,267731,29848,2040,56136,2307240,41.1
800005,Flipkart Campaign 4,Google,2024-02,796009,2959,300,47690,475200,9.96
800006,Flipkart Campaign 5,Google,2025-10,734965,39034,2319,342253,4617129,13.49
800007,Flipkart Campaign 6,Google,2024-06,748348,30623,2310,49326,2155230,43.69
800008,Flipkart Campaign 7,Facebook,2025-12,774980,3586,2063,174815,2157898,12.34
800009,Flipkart Campaign 8,Google,2024-10,283225,19490,3418,108392,6319882,58.31
800010,Flipkart Campaign 9,Google,2024-03,772095,35000,1682,73120,1750962,23.95
800011,Flipkart Campaign 10,Instagram,2024-09,438782,23981,746,113337,1407702,12.42
800012,Flipkart Campaign 11,Google,2025-09,313504,6341,3194,357164,3995694,11.19
800013,Flipkart Campaign 12,Facebook,2024-12,361166,19830,3256,317518,6707360,21.12
800014,Flipkart Campaign 13,Instagram,2025-03,629805,15907,2953,373988,3623331,9.69
800015,Flipkart Campaign 14,Instagram,2025-05,756214,1737,1695,283668,1650930,5.82
800016,Flipkart Campaign 15,Facebook,2024-07,640956,13790,1374,179936,1995048,11.09
800017,Flipkart Campaign 16,Instagram,2025-01,764168,24861,1761,361105,3324768,9.21
800018,Flipkart Campaign 17,Instagram,2024-03,640812,11555,245,44638,259945,5.82
800019,Flipkart Campaign 18,Facebook,2025-01,409269,26528,575,374262,905625,2.42
800020,Flipkart Campaign 19,Instagram,2024-07,256483,32369,2254,343975,3856594,11.21
800021,Flipkart Campaign 20,Google,2024-09,136117,35473,1557,386633,2391552,6.19
800022,Flipkart Campaign 21,Google,2024-10,20052,27507,3400,392388,6874800,17.52
800023,Flipkart Campaign 22,Facebook,2025-05,380824,2189,3256,303514,5922664,19.51
800024,Flipkart Campaign 23,Facebook,2024-01,744803,8354,1977,311338,2459388,7.9
800025,Flipkart Campaign 24,Google,2025-04,713831,21510,2224,110449,3389376,30.69
800026,Flipkart Campaign 25,Google,2025-07,391621,18009,1100,340598,2031700,5.97
800027,Flipkart Campaign 26,Instagram,2025-04,483567,14075,3204,156156,5071932,32.48
800028,Flipkart Campaign 27,Google,2024-06,548763,3982,1102,163220,2413380,14.79
800029,Flipkart Campaign 28,Google,2025-11,769204,10054,2578,207040,5413800,26.15
800030,Flipkart Campaign 29,Google,2025-02,124472,28282,2954,327329,3550708,10.85
800031,Flipkart Campaign 30,Facebook,2024-09,403019,13230,1035,125521,1831950,14.59
800032,Flipkart Campaign 31,Google,2025-06,707498,21741,685,363353,1459735,4.02
800033,Flipkart Campaign 32,Facebook,2025-08,552346,10852,113,374068,159556,0.43
800034,Flipkart Campaign 33,Google,2024-04,525827,2813,509,266531,736523,2.76
800035,Flipkart Campaign 34,Google,2025-05,470040,35179,1604,84358,2564796,30.4
800036,Flipkart Campaign 35,Google,2024-08,236770,29407,2177,247555,4434549,17.91
800037,Flipkart Campaign 36,Google,2024-12,141915,19896,3133,134666,5463952,40.57
800038,Flipkart Campaign 37,Facebook,2025-09,37035,25292,938,138623,1612422,11.63
800039,Flipkart Campaign 38,Instagram,2024-04,535723,11480,1993,132157,3934182,29.77
800040,Flipkart Campaign 39,Facebook,2025-04,401629,20779,2773,156755,4747376,30.29
800041,Flipkart Campaign 40,Instagram,2025-06,454428,27734,273,172553,456729,2.65
800042,Flipkart Campaign 41,Facebook,2025-10,358305,35304,2655,94640,3217860,34.0
800043,Flipkart Campaign 42,Facebook,2024-05,588258,31897,2077,158185,2380242,15.05
800044,Flipkart Campaign 43,Google,2025-07,153225,3026,1215,90761,1437345,15.84
800045,Flipkart Campaign 44,Instagram,2025-11,568805,20525,3025,136738,4141225,30.29
800046,Flipkart Campaign 45,Google,2025-12,366538,15805,1851,277242,3198528,11.54
800047,Flipkart Campaign 46,Facebook,2024-12,671260,3390,1098,126905,1536102,12.1
800048,Flipkart Campaign 47,Instagram,2024-09,710373,23812,292,59944,414640,6.92
800049,Flipkart Campaign 48,Facebook,2025-01,623244,33221,955,195212,1230040,6.3
800050,Flipkart Campaign 49,Instagram,2025-07,443019,39761,2013,305537,2451834,8.02
800051,Flipkart Campaign 50,Instagram,2024-02,123675,33668,3014,38581,6504212,168.59
800052,Flipkart Campaign 51,Instagram,2025-01,640127,16952,3370,288621,5220130,18.09
800053,Flipkart Campaign 52,Facebook,2025-09,448988,3755,2509,233109,3587870,15.39
800054,Flipkart Campaign 53,Instagram,2025-04,338632,28217,1901,94418,2437082,25.81
800055,Flipkart Campaign 54,Facebook,2025-03,333132,16754,804,148621,1037160,6.98
800056,Flipkart Campaign 55,Google,2024-01,88904,29158,2060,262952,3946960,15.01
800057,Flipkart Campaign 56,Instagram,2025-03,549123,37063,1465,353035,2052465,5.81
800058,Flipkart Campaign 57,Facebook,2024-04,794118,38837,341,345249,691889,2.0
800059,Flipkart Campaign 58,Facebook,2024-08,207326,9823,1722,265053,3359622,12.68
800060,Flipkart Campaign 59,Instagram,2025-05,150714,33041,3385,168021,4965795,29.55
800061,Flipkart Campaign 60,Instagram,2024-05,749665,4351,2816,168655,3086336,18.3
800062,Flipkart Campaign 61,Google,2024-08,446148,22757,2695,317156,4492565,14.17
800063,Flipkart Campaign 62,Facebook,2025-05,400850,39192,1975,330878,2713650,8.2
800064,Flipkart Campaign 63,Instagram,2024-09,66465,31420,1396,135550,2166592,15.98
800065,Flipkart Campaign 64,Google,2024-09,466462,36626,997,205268,905276,4.41
800066,Flipkart Campaign 65,Instagram,2024-04,114080,17071,1970,361274,2596460,7.19
800067,Flipkart Campaign 66,Instagram,2025-10,644594,27265,1633,325737,3244771,9.96
800068,Flipkart Campaign 67,Google,2025-08,51645,31389,1079,168340,1674608,9.95
800069,Flipkart Campaign 68,Facebook,2024-06,673137,8418,304,253568,417088,1.64
800070,Flipkart Campaign 69,Instagram,2024-07,146424,38478,191,300984,376652,1.25
800071,Flipkart Campaign 70,Instagram,2025-06,683448,12640,3173,305824,4607196,15.06
800072,Flipkart Campaign 71,Facebook,2025-02,592699,28162,762,184832,704088,3.81
800073,Flipkart Campaign 72,Instagram,2025-06,497885,32066,932,123646,1521956,12.31
800074,Flipkart Campaign 73,Facebook,2024-02,426377,13924,1654,265795,1908716,7.18
800075,Flipkart Campaign 74,Facebook,2025-02,404186,14678,1728,38155,2571264,67.39
800076,Flipkart Campaign 75,Instagram,2025-11,526201,31628,2396,225969,2661956,11.78
800077,Flipkart Campaign 76,Instagram,2024-12,615942,34520,456,229294,420432,1.83
800078,Flipkart Campaign 77,Facebook,2025-01,565370,6753,2530,87873,4007520,45.61
800079,Flipkart Campaign 78,Google,2025-10,764760,26462,3001,314504,4552517,14.48
800080,Flipkart Campaign 79,Instagram,2024-03,438920,9201,2656,92928,4608160,49.59
800081,Flipkart Campaign 80,Facebook,2024-05,314898,39868,1618,75969,1925420,25.34
800082,Flipkart Campaign 81,Google,2024-07,740106,16033,694,204419,1210336,5.92
800083,Flipkart Campaign 82,Instagram,2025-11,119668,34790,1928,213118,2394576,11.24
800084,Flipkart Campaign 83,Google,2025-01,272651,13328,3476,43852,4348476,99.16
800085,Flipkart Campaign 84,Instagram,2024-05,720040,34513,2007,96021,3680838,38.33
800086,Flipkart Campaign 85,Google,2024-11,712159,20164,1812,222297,3739968,16.82
800087,Flipkart Campaign 86,Facebook,2025-08,417760,33444,1394,75562,1414910,18.73
800088,Flipkart Campaign 87,Google,2025-06,644265,10028,3077,392457,2821609,7.19
800089,Flipkart Campaign 88,Instagram,2024-11,722003,20022,649,185506,900163,4.85
800090,Flipkart Campaign 89,Google,2025-03,74927,22307,2558,125613,4847410,38.59
800091,Flipkart Campaign 90,Facebook,2024-08,346123,7144,3231,74392,5883651,79.09
800092,Flipkart Campaign 91,Facebook,2025-02,192411,20161,1991,56563,3784891,66.91
800093,Flipkart Campaign 92,Facebook,2025-07,415758,39165,2818,298337,4629974,15.52
800094,Flipkart Campaign 93,Instagram,2024-11,628925,29453,1596,231203,2476992,10.71
800095,Flipkart Campaign 94,Instagram,2025-04,505319,22189,305,98525,450485,4.57
800096,Flipkart Campaign 95,Instagram,2024-04,476843,23569,353,284708,725062,2.55
800097,Flipkart Campaign 96,Google,2024-01,545546,4123,426,276477,872022,3.15
800098,Flipkart Campaign 97,Instagram,2024-10,329150,25088,1408,371564,1500928,4.04
800099,Flipkart Campaign 98,Instagram,2025-07,358909,13025,1944,246917,2803248,11.35
800100,Flipkart Campaign 99,Google,2024-04,581526,3595,2968,138965,5588744,40.22
800101,Flipkart Campaign 100,Google,2024-02,472297,22025,271,70227,570726,8.13
800102,Flipkart Campaign 101,Google,2024-07,81375,33728,3453,235005,5952972,25.33
800103,Flipkart Campaign 102,Google,2025-03,145644,11997,1084,392339,2314340,5.9
800104,Flipkart Campaign 103,Instagram,2025-02,31023,38348,1040,196408,2248480,11.45
800105,Flipkart Campaign 104,Facebook,2025-03,619420,22472,2100,213525,4216800,19.75
800106,Flipkart Campaign 105,Instagram,2025-01,575766,27795,1201,274326,1640566,5.98
800107,Flipkart Campaign 106,Instagram,2025-11,334281,30692,658,215732,1146236,5.31
800108,Flipkart Campaign 107,Google,2024-08,108350,16857,1075,85986,1620025,18.84
800109,Flipkart Campaign 108,Google,2024-06,364237,19573,2778,269097,2969682,11.04
800110,Flipkart Campaign 109,Google,2025-11,486284,22497,3089,369476,4686013,12.68
800111,Flipkart Campaign 110,Facebook,2024-11,796402,21642,553,305060,958902,3.14
800112,Flipkart Campaign 111,Google,2025-01,657936,22096,3377,106440,3518834,33.06
800113,Flipkart Campaign 112,Instagram,2024-09,345453,8899,2990,108628,5633160,51.86
800114,Flipkart Campaign 113,Facebook,2025-05,397931,10692,253,345846,462231,1.34
800115,Flipkart Campaign 114,Google,2025-12,281771,35197,2220,158934,2186700,13.76
800116,Flipkart Campaign 115,Facebook,2024-08,613945,35448,744,82174,1293816,15.74
800117,Flipkart Campaign 116,Instagram,2024-08,639652,31351,2096,152523,2007968,13.17
800118,Flipkart Campaign 117,Instagram,2024-04,398818,11932,1499,377604,2527314,6.69
800119,Flipkart Campaign 118,Facebook,2025-08,114689,26831,2618,380652,4382532,11.51
800120,Flipkart Campaign 119,Instagram,2025-04,736669,13059,518,270963,1135456,4.19
800121,Flipkart Campaign 120,Google,2025-09,506880,13187,2163,326167,2790270,8.55
800122,Flipkart Campaign 121,Facebook,2025-07,164546,21180,566,130009,764666,5.88
800123,Flipkart Campaign 122,Facebook,2024-07,120152,28754,1552,136890,2917760,21.31
800124,Flipkart Campaign 123,Facebook,2024-09,174393,21865,1545,217147,2694480,12.41
800125,Flipkart Campaign 124,Facebook,2025-08,778666,6853,3417,252945,6297531,24.9
800126,Flipkart Campaign 125,Instagram,2025-03,408435,32611,1339,125315,2864121,22.86
800127,Flipkart Campaign 126,Instagram,2025-04,47416,2371,592,46529,1298848,27.91
800128,Flipkart Campaign 127,Google,2024-08,495781,25927,3301,152482,3918287,25.7
800129,Flipkart Campaign 128,Google,2025-03,776955,12941,895,369743,920955,2.49
800130,Flipkart Campaign 129,Google,2024-04,394251,35152,303,191123,396930,2.08
800131,Flipkart Campaign 130,Facebook,2024-05,214239,15922,1317,279406,1667322,5.97
800132,Flipkart Campaign 131,Facebook,2025-09,634289,3353,3466,139838,4876662,34.87
800133,Flipkart Campaign 132,Google,2024-01,635609,21715,3382,95909,4352634,45.38
800134,Flipkart Campaign 133,Google,2024-01,353167,33815,2263,241994,4236336,17.51
800135,Flipkart Campaign 134,Google,2024-09,144264,23260,1002,71585,1983960,27.71
800136,Flipkart Campaign 135,Google,2024-06,81808,26711,789,36501,800046,21.92
800137,Flipkart Campaign 136,Google,2025-08,308647,29076,2179,351377,3499474,9.96
800138,Flipkart Campaign 137,Instagram,2024-03,438283,10228,3086,230892,5724530,24.79
800139,Flipkart Campaign 138,Google,2025-05,391488,4306,1254,235149,2519286,10.71
800140,Flipkart Campaign 139,Facebook,2024-07,705776,35948,1103,382202,1721783,4.5
800141,Flipkart Campaign 140,Google,2025-03,369337,6408,1131,160513,1662570,10.36
800142,Flipkart Campaign 141,Google,2024-02,91293,4703,2259,63093,4170114,66.09
