order_id,customer_id,product_id,order_date,quantity,payment_method,order_status,city,revenue,cost,profit
700001,116241,502882,2024-03-08 18:59:57,3,Card,Delivered,Bangalore,7198.38,5061,2137.38
700002,101943,501206,2025-07-03 09:08:55,3,Card,Delivered,Delhi,9657.210000000001,6903,2754.210000000001
700003,113051,502171,2024-06-25 08:11:48,1,Cash,Delivered,Pune,2877.92,2283,594.9200000000001
700004,115230,502493,2025-04-24 07:39:50,2,Cash,Delivered,Pune,1082.92,886,196.92000000000007
700005,117130,501916,2025-06-28 23:33:09,4,Cash,Delivered,Pune,9650.96,7640,2010.9599999999991
700006,100362,501090,2025-08-16 20:15:53,4,Cash,Delivered,Hyderabad,10297.2,8468,1829.2000000000007
700007,105442,501251,2025-12-07 04:38:47,1,UPI,Delivered,Delhi,2555.66,1856,699.6599999999999
700008,104938,503263,2024-11-27 09:19:04,1,UPI,Delivered,Hyderabad,781.76,609,172.76
700009,110929,500477,2024-06-29 13:17:23,3,Card,Delivered,Delhi,6888.27,5109,1779.2700000000004
700010,102616,501585,2025-05-08 07:02:25,3,Cash,Delivered,Delhi,4683.63,3390,1293.63
700011,106193,501355,2024-11-09 03:03:51,4,Cash,Delivered,Kolkata,10226.56,8348,1878.5599999999995
700012,107523,501872,2024-11-14 23:13:11,1,UPI,Delivered,Delhi,546.0,399,147.0
700013,107587,502247,2024-02-27 04:07:35,3,Card,Delivered,Delhi,6106.0199999999995,4470,1636.0199999999995
700014,108887,503142,2024-12-14 19:07:44,1,Wallet,Delivered,Mumbai,2655.04,1816,839.04
700015,117701,503029,2024-03-05 13:58:45,4,Card,Delivered,Bangalore,10855.08,7880,2975.08
700016,112743,502513,2025-02-14 10:34:47,1,Cash,Delivered,Delhi,738.98,508,230.98000000000002
700017,100214,500426,2024-04-08 18:11:20,1,UPI,Returned,Mumbai,2583.31,1809,774.31
700018,111196,500959,2025-08-31 15:52:09,4,Card,Delivered,Kolkata,9511.6,7248,2263.6000000000004
700019,107202,500769,2025-02-24 01:04:45,3,UPI,Cancelled,Kolkata,4418.25,2994,1424.25
700020,104075,500922,2025-08-19 08:43:19,2,Cash,Delivered,Mumbai,2661.04,1812,849.04
700021,105570,502585,2025-03-27 04:40:20,1,Cash,Delivered,Kolkata,1403.71,1145,258.71000000000004
700022,117505,501075,2025-12-03 18:42:23,3,Card,Delivered,Hyderabad,779.46,642,137.46000000000004
700023,104647,500858,2025-08-20 07:02:39,4,UPI,Delivered,Pune,11245.04,8804,2441.040000000001
700024,103441,501908,2024-10-31 23:22:03,2,Wallet,Delivered,Pune,4892.6,3952,940.6000000000004
