product_id,product_name,category,brand,cost_price,selling_price
500001,Men T-Shirt,Fashion,Samsung,2316,3188.79
500002,Men T-Shirt,Fashion,Nike,2436,3227.03
500003,Men T-Shirt,Fashion,Apple,1904,2463.17
500004,Men T-Shirt,Fashion,Nike,2240,2779.83
500005,Men T-Shirt,Fashion,Dettol,382,517.85
500006,Men T-Shirt,Fashion,Dettol,503,650.49
500007,Men T-Shirt,Fashion,Apple,1504,1993.63
500008,Men T-Shirt,Fashion,Boat,2461,3481.54
500009,Men T-Shirt,Fashion,Nike,366,452.5
500010,Men T-Shirt,Fashion,Apple,670,875.83
500011,Men T-Shirt,Fashion,Penguin,2040,2913.83
500012,Men T-Shirt,Fashion,Dettol,547,712.0
500013,Men T-Shirt,Fashion,Apple,153,216.81
500014,Men T-Shirt,Fashion,Himalaya,1597,2054.21
500015,Men T-Shirt,Fashion,Penguin,274,397.82
500016,Men T-Shirt,Fashion,Boat,1784,2442.78
500017,Men T-Shirt,Fashion,Philips,2496,3208.28
500018,Men T-Shirt,Fashion,Nike,306,424.94
500019,Men T-Shirt,Fashion,Puma,228,317.1
500020,Men T-Shirt,Fashion,Dettol,632,851.29
500021,Men T-Shirt,Fashion,Philips,2059,2975.95
500022,Men T-Shirt,Fashion,Himalaya,2383,3090.21
500023,Men T-Shirt,Fashion,Samsung,271,332.15
500024,Men T-Shirt,Fashion,Boat,1867,2313.01
500025,Men T-Shirt,Fashion,Himalaya,2207,2763.0
500026,Men T-Shirt,Fashion,Mamaearth,1759,2490.69
500027,Men T-Shirt,Fashion,Dettol,1228,1698.53
500028,Men T-Shirt,Fashion,Philips,319,477.63
500029,Men T-Shirt,Fashion,Nike,1558,2017.75
500030,Men T-Shirt,Fashion,Puma,2207,2838.01
500031,Men T-Shirt,Fashion,Philips,1785,2601.29
500032,Men T-Shirt,Fashion,Penguin,267,365.56
500033,Men T-Shirt,Fashion,Philips,1362,1769.45
500034,Men T-Shirt,Fashion,Boat,811,1071.16
500035,Men T-Shirt,Fashion,Mamaearth,1677,2102.29
500036,Men T-Shirt,Fashion,Puma,1919,2746.14
500037,Men T-Shirt,Fashion,Samsung,2346,2824.61
500038,Men T-Shirt,Fashion,Boat,1215,1622.02
500039,Men T-Shirt,Fashion,Samsung,564,737.88
500040,Men T-Shirt,Fashion,Dettol,2090,2919.79
500041,Men T-Shirt,Fashion,Nike,259,378.66
500042,Men T-Shirt,Fashion,Himalaya,2230,3153.27
500043,Men T-Shirt,Fashion,Boat,179,230.05
500044,Men T-Shirt,Fashion,Penguin,1137,1704.39
500045,Men T-Shirt,Fashion,Prestige,1478,2051.83
500046,Men T-Shirt,Fashion,Mamaearth,939,1356.59
500047,Men T-Shirt,Fashion,Philips,2059,2766.48
500048,Men T-Shirt,Fashion,Mamaearth,600,854.37
500049,Men T-Shirt,Fashion,Apple,1917,2874.81
500050,Men T-Shirt,Fashion,Apple,1407,1793.2
500051,Men T-Shirt,Fashion,Apple,1270,1777.07
500052,Men T-Shirt,Fashion,Himalaya,669,893.07
500053,Men T-Shirt,Fashion,Boat,1514,2123.85
500054,Men T-Shirt,Fashion,Boat,1928,2821.28
500055,Men T-Shirt,Fashion,Mamaearth,1506,1810.37
500056,Men T-Shirt,Fashion,Philips,318,472.65
500057,Men T-Shirt,Fashion,Puma,375,525.01
500058,Men T-Shirt,Fashion,Penguin,719,1048.37
500059,Men T-Shirt,Fashion,Prestige,2184,3096.22
500060,Men T-Shirt,Fashion,Himalaya,2217,2923.74
500061,Men T-Shirt,Fashion,Philips,233,325.73
500062,Men T-Shirt,Fashion,Dettol,1565,1978.06
500063,Men T-Shirt,Fashion,Boat,2191,2778.01
500064,Men T-Shirt,Fashion,Philips,1016,1361.31
